Date:,12/4/2022,
coordinates:,"62.4679452, 6.3027839",
location:,"62.46794520,6.30278390",
hour,Elevation,Azimuth
5:20:00,-0.833,69.27
5:30:00,0.26,71.49
5:40:00,1.36,73.7
5:50:00,2.48,75.91
6:00:00,3.61,78.11
6:10:00,4.74,80.31
6:20:00,5.89,82.51
6:30:00,7.04,84.71
6:40:00,8.2,86.92
6:50:00,9.35,89.13
7:00:00,10.51,91.34
7:10:00,11.67,93.57
7:20:00,12.82,95.81
7:30:00,13.97,98.06
7:40:00,15.11,100.32
7:50:00,16.25,102.6
8:00:00,17.37,104.9
8:10:00,18.49,107.22
8:20:00,19.59,109.56
8:30:00,20.67,111.93
8:40:00,21.73,114.32
8:50:00,22.78,116.74
9:00:00,23.8,119.19
9:10:00,24.8,121.67
9:20:00,25.77,124.18
9:30:00,26.72,126.73
9:40:00,27.63,129.31
9:50:00,28.51,131.93
10:00:00,29.35,134.58
10:10:00,30.16,137.27
10:20:00,30.93,140
10:30:00,31.65,142.77
10:40:00,32.33,145.57
10:50:00,32.96,148.41
11:00:00,33.54,151.28
11:10:00,34.08,154.18
11:20:00,34.56,157.12
11:30:00,34.98,160.08
11:40:00,35.35,163.07
11:50:00,35.66,166.08
12:00:00,35.91,169.12
12:10:00,36.1,172.16
12:20:00,36.23,175.22
12:30:00,36.3,178.28
12:40:00,36.3,181.35
12:50:00,36.25,184.41
13:00:00,36.13,187.47
13:10:00,35.95,190.52
13:20:00,35.71,193.55
13:30:00,35.42,196.57
13:40:00,35.06,199.56
13:50:00,34.65,202.53
14:00:00,34.18,205.47
14:10:00,33.66,208.38
14:20:00,33.09,211.26
14:30:00,32.46,214.11
14:40:00,31.8,216.92
14:50:00,31.08,219.69
15:00:00,30.32,222.42
15:10:00,29.53,225.12
15:20:00,28.69,227.79
15:30:00,27.82,230.41
15:40:00,26.92,233
15:50:00,25.98,235.55
16:00:00,25.02,238.07
16:10:00,24.02,240.56
16:20:00,23.01,243.02
16:30:00,21.97,245.44
16:40:00,20.91,247.84
16:50:00,19.83,250.21
17:00:00,18.74,252.56
17:10:00,17.63,254.89
17:20:00,16.51,257.19
17:30:00,15.38,259.48
17:40:00,14.25,261.75
17:50:00,13.1,264
18:00:00,11.95,266.24
18:10:00,10.8,268.47
18:20:00,9.65,270.69
18:30:00,8.49,272.9
18:40:00,7.34,275.11
18:50:00,6.2,277.31
19:00:00,5.05,279.51
19:10:00,3.92,281.72
19:20:00,2.8,283.92
19:30:00,1.68,286.13
19:40:00,0.58,288.34
19:53:02,-0.833,291.23
